container_id,started,finished,total_time
f655eebe3939,1744114520.782154,1744114572.525823,51.74366903305054
234b10dcee57,1744114580.193982,1744114627.86477,47.670788049697876
41054f7ffc3f,1744114634.838839,1744114685.455884,50.6170449256897
432877802e8d,1744114693.169067,1744114741.223384,48.054316997528076
7ea35e0296de,1744114748.413821,1744114797.278149,48.864327907562256
d76444b7c3f5,1744114804.578836,1744114851.511527,46.93269109725952
17549d8aa259,1744114858.382054,1744114904.81966,46.43760585784912
f188339cd702,1744114912.180136,1744114960.247124,48.06698799133301
6f0e6db2f725,1744114968.116874,1744115015.007608,46.89073395729065
0f8d65ba8699,1744115022.160738,1744115075.304503,53.14376497268677
75c7f6d8e332,1744115082.277232,1744115129.354706,47.07747411727905
