Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_medium,0,0.00,25.79
memory_medium,0,0.10,69.79
memory_medium,0,0.20,114.04
memory_medium,0,0.30,157.79
memory_medium,0,0.41,199.29
memory_medium,0,0.51,24.96
memory_medium,1,0.00,25.79
memory_medium,1,0.10,68.42
memory_medium,1,0.20,111.54
memory_medium,1,0.30,154.17
memory_medium,1,0.41,198.29
memory_medium,1,0.51,24.84
memory_medium,2,0.00,25.91
memory_medium,2,0.10,69.41
memory_medium,2,0.20,113.16
memory_medium,2,0.30,152.16
memory_medium,2,0.41,195.29
memory_medium,2,0.52,24.95
memory_medium,3,0.00,25.91
memory_medium,3,0.10,68.91
memory_medium,3,0.20,112.16
memory_medium,3,0.30,154.79
memory_medium,3,0.40,197.91
memory_medium,4,0.00,25.79
memory_medium,4,0.10,69.16
memory_medium,4,0.20,113.66
memory_medium,4,0.30,158.04
memory_medium,4,0.40,201.54
memory_medium,5,0.00,25.91
memory_medium,5,0.10,68.91
memory_medium,5,0.20,112.54
memory_medium,5,0.30,156.41
memory_medium,5,0.41,200.29
memory_medium,6,0.00,26.67
memory_medium,6,0.10,69.04
memory_medium,6,0.21,112.92
memory_medium,6,0.31,155.79
memory_medium,6,0.41,198.79
memory_medium,7,0.00,25.67
memory_medium,7,0.10,70.29
memory_medium,7,0.20,114.42
memory_medium,7,0.30,159.54
memory_medium,7,0.40,204.42
memory_medium,8,0.00,25.79
memory_medium,8,0.10,70.16
memory_medium,8,0.20,114.79
memory_medium,8,0.30,159.66
memory_medium,8,0.41,204.41
memory_medium,9,0.00,25.91
memory_medium,9,0.10,69.91
memory_medium,9,0.20,113.66
memory_medium,9,0.30,156.04
memory_medium,9,0.40,197.79
