memory_medium,0,2025-05-19 10:32:00.333773214,2025-05-19 10:32:13.376663946
memory_medium,1,2025-05-19 10:32:13.404108075,2025-05-19 10:32:29.031733317
memory_medium,2,2025-05-19 10:32:29.047538783,2025-05-19 10:32:41.767443816
memory_medium,3,2025-05-19 10:32:41.785300665,2025-05-19 10:32:55.189183723
memory_medium,4,2025-05-19 10:32:55.221549509,2025-05-19 10:33:10.475814675
memory_medium,5,2025-05-19 10:33:10.492324753,2025-05-19 10:33:20.046290009
memory_medium,6,2025-05-19 10:33:20.061098902,2025-05-19 10:33:30.461883083
memory_medium,7,2025-05-19 10:33:30.493731795,2025-05-19 10:33:59.613028364
memory_medium,8,2025-05-19 10:33:59.646076205,2025-05-19 10:34:07.919879779
memory_medium,9,2025-05-19 10:34:07.932741543,2025-05-19 10:34:19.357223288
