Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
memory_long,0,2025-04-22 13:03:33.636945779,2025-04-22 13:04:14.369196153,40.73225
memory_long,1,2025-04-22 13:04:14.385612846,2025-04-22 13:04:57.954209308,43.56860
memory_long,2,2025-04-22 13:04:57.987680076,2025-04-22 13:05:41.756525797,43.76884
memory_long,3,2025-04-22 13:05:41.788493112,2025-04-22 13:06:29.260780873,47.47229
memory_long,4,2025-04-22 13:06:29.286473280,2025-04-22 13:07:13.469776120,44.18330
memory_long,5,2025-04-22 13:07:13.496294887,2025-04-22 13:07:56.065204879,42.56891
memory_long,6,2025-04-22 13:07:56.093875799,2025-04-22 13:08:44.196195572,48.10232
memory_long,7,2025-04-22 13:08:44.245676479,2025-04-22 13:09:29.148090081,44.90241
memory_long,8,2025-04-22 13:09:29.184836815,2025-04-22 13:10:13.516066946,44.33123
memory_long,9,2025-04-22 13:10:13.534342147,2025-04-22 13:10:55.099250696,41.56491
